"Release Quarter","Release Year","Release Month","Release Season","check","Year","Value","Data","Horizon"
"Observed","Observed","Observed","Observed","Observed",2000,3,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2001,0.6,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2002,0.2,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2003,-0.1,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2004,1.6,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2005,0.9,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2006,2.7,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2007,2.5,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2008,1.3,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2009,-5,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2010,3.6,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2011,3,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2012,0.7,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2013,0.4,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2014,1.6,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2015,1.7,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2016,1.9,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2017,2.2,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2018,1.4,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2019,0.6,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2020,-4.9,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2021,2.9,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2022,1.8,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2023,-0.3,"Observed","Observed"
"Observed","Observed","Observed","Observed","Observed",2024,-0.2,"Observed","Observed"
"4","2022","12","Winter","42022",2022,1.8,"IWH","0"
"4","2023","12","Winter","42023",2023,-0.3,"IWH","0"
"4","2024","12","Winter","42024",2024,-0.2,"IWH","0"
"4","2025","12","Winter","42025",2025,0.2,"IWH","0"
"4","2022","12","Winter","42022",2023,0,"IWH","1"
"4","2023","12","Winter","42023",2024,0.5,"IWH","1"
"4","2024","12","Winter","42024",2025,0.4,"IWH","1"
"4","2025","12","Winter","42025",2026,1,"IWH","1"
"4","2022","12","Winter","42022",2024,1.9,"IWH","2"
"4","2023","12","Winter","42023",2025,1.2,"IWH","2"
"4","2024","12","Winter","42024",2026,1.3,"IWH","2"
"4","1999","12","Winter","41999",2000,2.8,"IWH","1"
"4","2000","12","Winter","42000",2000,3.1,"IWH","0"
"4","2000","12","Winter","42000",2001,2.7,"IWH","1"
"4","2001","12","Winter","42001",2001,0.5,"IWH","0"
"4","2001","12","Winter","42001",2002,0.6,"IWH","1"
"4","2002","12","Winter","42002",2002,0.2,"IWH","0"
"4","2002","12","Winter","42002",2003,1.1,"IWH","1"
"4","2002","12","Winter","42002",2004,2.3,"IWH","2"
"4","2003","12","Winter","42003",2003,0,"IWH","0"
"4","2003","12","Winter","42003",2004,1.6,"IWH","1"
"4","2003","12","Winter","42003",2005,1.8,"IWH","2"
"4","2004","12","Winter","42004",2004,1.7,"IWH","0"
"4","2004","12","Winter","42004",2005,1.3,"IWH","1"
"4","2004","12","Winter","42004",2006,1.7,"IWH","2"
"4","2005","12","Winter","42005",2005,0.9,"IWH","0"
"4","2005","12","Winter","42005",2006,1.7,"IWH","1"
"4","2005","12","Winter","42005",2007,1.2,"IWH","2"
"4","2006","12","Winter","42006",2006,2.5,"IWH","0"
"4","2006","12","Winter","42006",2007,1.4,"IWH","1"
"4","2006","12","Winter","42006",2008,2.1,"IWH","2"
"4","2007","12","Winter","42007",2007,2.5,"IWH","0"
"4","2007","12","Winter","42007",2008,1.7,"IWH","1"
"4","2007","12","Winter","42007",2009,2,"IWH","2"
"4","2008","12","Winter","42008",2008,1.4,"IWH","0"
"4","2008","12","Winter","42008",2009,-1.9,"IWH","1"
"4","2008","12","Winter","42008",2010,0.9,"IWH","2"
"4","2009","10","Autumn","42009",2009,-5.2,"IWH","0"
"4","2009","12","Winter","42009",2009,-4.8,"IWH","0"
"4","2009","10","Autumn","42009",2010,0.9,"IWH","1"
"4","2009","12","Winter","42009",2010,1.9,"IWH","1"
"4","2009","12","Winter","42009",2011,1.8,"IWH","2"
"4","2010","12","Winter","42010",2010,3.7,"IWH","0"
"4","2010","12","Winter","42010",2011,2.3,"IWH","1"
"4","2010","12","Winter","42010",2012,1.7,"IWH","2"
"4","2011","12","Winter","42011",2011,3,"IWH","0"
"4","2011","12","Winter","42011",2012,0.3,"IWH","1"
"4","2011","12","Winter","42011",2013,1.6,"IWH","2"
"4","2012","12","Winter","42012",2012,0.8,"IWH","0"
"4","2012","12","Winter","42012",2013,0.7,"IWH","1"
"4","2012","12","Winter","42012",2014,1.5,"IWH","2"
"4","2013","12","Winter","42013",2013,0.4,"IWH","0"
"4","2013","12","Winter","42013",2014,1.8,"IWH","1"
"4","2013","12","Winter","42013",2015,2,"IWH","2"
"4","2014","12","Winter","42014",2014,1.5,"IWH","0"
"4","2014","12","Winter","42014",2015,1.3,"IWH","1"
"4","2014","12","Winter","42014",2016,1.6,"IWH","2"
"4","2015","12","Winter","42015",2015,1.7,"IWH","0"
"4","2015","12","Winter","42015",2016,1.6,"IWH","1"
"4","2015","12","Winter","42015",2017,1.5,"IWH","2"
"4","2016","12","Winter","42016",2016,1.9,"IWH","0"
"4","2016","12","Winter","42016",2017,1.3,"IWH","1"
"4","2016","12","Winter","42016",2018,1.5,"IWH","2"
"4","2017","12","Winter","42017",2018,2.2,"IWH","1"
"4","2017","12","Winter","42017",2017,2.2,"IWH","0"
"4","2017","12","Winter","42017",2019,1.7,"IWH","2"
"4","2018","12","Winter","42018",2019,1.4,"IWH","1"
"4","2018","12","Winter","42018",2018,1.5,"IWH","0"
"4","2018","12","Winter","42018",2020,1.8,"IWH","2"
"4","2019","12","Winter","42019",2019,0.5,"IWH","0"
"4","2019","12","Winter","42019",2020,1.1,"IWH","1"
"4","2019","12","Winter","42019",2021,1.6,"IWH","2"
"4","2020","12","Winter","42020",2020,-5,"IWH","0"
"4","2020","12","Winter","42020",2021,4.4,"IWH","1"
"4","2020","12","Winter","42020",2022,3.2,"IWH","2"
"4","2021","12","Winter","42021",2021,2.7,"IWH","0"
"4","2021","12","Winter","42021",2022,3.5,"IWH","1"
"4","2021","12","Winter","42021",2023,1.8,"IWH","2"
